mode_id,Re,Ra,Pr,P,N_e,DOF,mtol_nonlin,AGi,AGr,AGc,mtol_gmres,restart,mtol_internal,iter_NS,iter_CD,iter_lin,iter_nonlin,mean_linRoC,maxm_u,amaxm_u,maxm_v,amaxm_v
1,1.0e+03,1.0e+02,0.71,4,8,3556,1e-10,0,0.00,0.00,nan,-1,1e-13,8,6,14,5,4.0190e-02,nan,nan,nan,nan
1,1.0e+03,1.0e+02,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,11,9,20,8,1.3455e-01,nan,nan,nan,nan
2,1.0e+03,1.0e+02,0.71,4,8,3556,1e-10,-1,nan,nan,nan,-1,1e-13,7,4,11,3,6.0442e-03,nan,nan,nan,nan
0,1.0e+03,2.2e+02,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,24,22,46,2,nan,nan,nan,nan,nan
1,1.0e+03,2.2e+02,0.71,4,8,3556,1e-10,0,0.00,0.00,nan,-1,1e-13,10,8,18,7,7.8429e-02,nan,nan,nan,nan
1,1.0e+03,2.2e+02,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,14,12,26,11,2.0647e-01,nan,nan,nan,nan
2,1.0e+03,2.2e+02,0.71,4,8,3556,1e-10,-1,nan,nan,nan,-1,1e-13,8,5,13,4,1.5664e-02,nan,nan,nan,nan
0,1.0e+03,4.6e+02,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,38,36,74,3,nan,nan,nan,nan,nan
1,1.0e+03,4.6e+02,0.71,4,8,3556,1e-10,0,0.00,0.00,nan,-1,1e-13,12,10,22,9,1.5132e-01,nan,nan,nan,nan
1,1.0e+03,4.6e+02,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,17,15,32,14,3.0880e-01,nan,nan,nan,nan
2,1.0e+03,4.6e+02,0.71,4,8,3556,1e-10,-1,nan,nan,nan,-1,1e-13,11,7,18,6,4.5931e-02,nan,nan,nan,nan
0,1.0e+03,1.0e+03,0.71,4,4,948,1e-10,-1,nan,nan,1e-13,20,1e-13,43,41,84,3,nan,3.632614,0.8106,3.682896,0.1796
0,1.0e+03,1.0e+03,0.71,4,6,2044,1e-10,-1,nan,nan,1e-13,20,1e-13,43,41,84,3,nan,3.645800,0.8133,3.693980,0.1785
0,1.0e+03,1.0e+03,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,43,41,84,3,nan,3.645582,0.8133,3.695274,0.1784
0,1.0e+03,1.0e+03,0.71,4,10,5484,1e-10,-1,nan,nan,1e-13,20,1e-13,43,41,84,3,nan,3.648787,0.8132,3.696569,0.1785
0,1.0e+03,1.0e+03,0.71,4,12,7828,1e-10,-1,nan,nan,1e-13,20,1e-13,43,41,84,3,nan,3.648801,0.8135,3.696965,0.1783
1,1.0e+03,1.0e+03,0.71,4,4,948,1e-10,8,0.80,0.20,nan,-1,1e-13,26,24,50,23,4.4703e-01,3.632614,0.8106,3.682896,0.1796
1,1.0e+03,1.0e+03,0.71,4,6,2044,1e-10,8,0.80,0.20,nan,-1,1e-13,25,23,48,22,4.3809e-01,3.645800,0.8133,3.693980,0.1785
1,1.0e+03,1.0e+03,0.71,4,8,3556,1e-10,0,0.00,0.00,nan,-1,1e-13,18,16,34,15,3.1682e-01,3.645581,0.8133,3.695273,0.1784
1,1.0e+03,1.0e+03,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,25,23,48,22,4.3776e-01,3.645582,0.8133,3.695274,0.1784
1,1.0e+03,1.0e+03,0.71,4,10,5484,1e-10,8,0.80,0.20,nan,-1,1e-13,24,22,46,21,4.5175e-01,3.648787,0.8132,3.696569,0.1785
1,1.0e+03,1.0e+03,0.71,4,12,7828,1e-10,8,0.80,0.20,nan,-1,1e-13,23,21,44,20,4.4286e-01,3.648801,0.8135,3.696965,0.1783
2,1.0e+03,1.0e+03,0.71,4,4,948,1e-10,-1,nan,nan,nan,-1,1e-13,19,11,30,10,1.4673e-01,3.632614,0.8106,3.682896,0.1796
2,1.0e+03,1.0e+03,0.71,4,6,2044,1e-10,-1,nan,nan,nan,-1,1e-13,19,11,30,10,1.4666e-01,3.645800,0.8133,3.693980,0.1785
2,1.0e+03,1.0e+03,0.71,4,8,3556,1e-10,-1,nan,nan,nan,-1,1e-13,18,10,28,9,1.4648e-01,3.645582,0.8133,3.695274,0.1784
2,1.0e+03,1.0e+03,0.71,4,10,5484,1e-10,-1,nan,nan,nan,-1,1e-13,17,10,27,9,1.4563e-01,3.648787,0.8132,3.696569,0.1785
2,1.0e+03,1.0e+03,0.71,4,12,7828,1e-10,-1,nan,nan,nan,-1,1e-13,17,10,27,9,1.4508e-01,3.648801,0.8135,3.696965,0.1783
0,1.0e+03,2.2e+03,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,64,62,126,4,nan,nan,nan,nan,nan
1,1.0e+03,2.2e+03,0.71,4,8,3556,1e-10,0,0.00,0.00,nan,-1,1e-13,36,34,70,33,5.7750e-01,nan,nan,nan,nan
1,1.0e+03,2.2e+03,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,44,42,86,41,6.4178e-01,nan,nan,nan,nan
2,1.0e+03,2.2e+03,0.71,4,8,3556,1e-10,-1,nan,nan,nan,-1,1e-13,36,20,56,19,3.9330e-01,nan,nan,nan,nan
0,1.0e+03,4.6e+03,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,73,70,143,4,nan,nan,nan,nan,nan
1,1.0e+03,4.6e+03,0.71,4,8,3556,1e-10,0,0.00,0.00,nan,-1,1e-13,89,86,175,85,8.0238e-01,nan,nan,nan,nan
1,1.0e+03,4.6e+03,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,77,74,151,73,7.7247e-01,nan,nan,nan,nan
2,1.0e+03,4.6e+03,0.71,4,8,3556,1e-10,-1,nan,nan,nan,-1,1e-13,95,50,145,49,6.8463e-01,nan,nan,nan,nan
0,1.0e+03,1.0e+04,0.71,4,4,948,1e-10,-1,nan,nan,1e-13,20,1e-13,104,100,204,5,nan,16.250618,0.8225,19.704511,0.1208
0,1.0e+03,1.0e+04,0.71,4,6,2044,1e-10,-1,nan,nan,1e-13,20,1e-13,100,97,197,5,nan,16.183079,0.8227,19.612025,0.1191
0,1.0e+03,1.0e+04,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,101,98,199,5,nan,16.171672,0.8238,19.618677,0.1190
0,1.0e+03,1.0e+04,0.71,4,10,5484,1e-10,-1,nan,nan,1e-13,20,1e-13,100,97,197,5,nan,16.180707,0.8231,19.624508,0.1188
0,1.0e+03,1.0e+04,0.71,4,12,7828,1e-10,-1,nan,nan,1e-13,20,1e-13,101,98,199,5,nan,16.182334,0.8233,19.625084,0.1189
1,1.0e+03,1.0e+04,0.71,4,8,3556,1e-10,0,0.00,0.00,nan,-1,1e-13,543,540,1083,539,9.6495e-01,16.171671,0.8238,19.618676,0.1190
1,1.0e+03,1.0e+04,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,117,114,231,113,8.4267e-01,16.171672,0.8238,19.618677,0.1190
2,1.0e+03,1.0e+04,0.71,4,8,3556,1e-10,-1,nan,nan,nan,-1,1e-13,574,298,872,297,9.3693e-01,16.171672,0.8238,19.618677,0.1190
0,1.0e+03,2.2e+04,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,164,160,324,6,nan,nan,nan,nan,nan
1,1.0e+03,2.2e+04,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,134,130,264,129,8.5467e-01,nan,nan,nan,nan
0,1.0e+03,4.6e+04,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,295,291,586,8,nan,nan,nan,nan,nan
1,1.0e+03,4.6e+04,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,285,281,566,280,9.2857e-01,nan,nan,nan,nan
1,1.0e+03,5.2e+04,0.71,4,8,3556,1e-10,8,0.80,0.20,nan,-1,1e-13,570,566,1136,565,9.6391e-01,nan,nan,nan,nan
0,1.0e+03,1.0e+05,0.71,4,8,3556,1e-10,-1,nan,nan,1e-13,20,1e-13,429,424,853,10,nan,35.183343,0.8559,69.270173,0.0662
0,1.0e+03,1.0e+05,0.71,4,10,5484,1e-08,-1,nan,nan,1e-13,20,1e-13,416,411,827,9,nan,34.852442,0.8553,68.798968,0.0658
